trip_distance,rate_code,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,imp_surcharge,total_amount,pickup_location_id,dropoff_location_id,hour_of_day,trip_duration
7.56,1,1,22.0,0.0,0.5,4.44,5.76,0.3,33.0,138,263,14,1920.0
19.19,3,1,69.0,0.0,0.0,16.86,15.0,0.3,101.16,230,1,14,2138.0
10.9,1,1,31.5,0.0,0.5,6.45,0.0,0.3,38.75,138,198,15,76.0
8.1,1,1,25.0,0.0,0.5,5.15,0.0,0.3,30.95,231,166,15,2501.0
9.57,1,1,30.0,0.0,0.5,7.31,5.76,0.3,43.87,186,95,15,1756.0
23.31,1,1,61.5,0.5,0.5,12.56,0.0,0.3,75.36,132,181,0,2418.0
8.03,1,1,30.0,0.5,0.5,10.0,5.76,0.3,47.06,234,198,1,2221.0
4.7,1,1,23.5,0.5,0.5,4.95,0.0,0.3,29.75,79,143,1,1569.0
12.7,1,1,38.0,0.5,0.5,7.85,0.0,0.3,47.15,233,71,2,2047.0
8.42,1,1,27.5,0.5,0.5,5.76,0.0,0.3,34.56,237,196,3,1776.0
6.24,1,1,22.5,0.5,0.5,3.57,0.0,0.3,27.37,4,181,5,1573.0
9.46,1,1,29.0,0.0,0.5,8.94,0.0,0.3,38.74,261,260,10,1334.0
10.3,1,1,30.5,0.0,0.5,7.4,5.76,0.3,44.46,230,138,12,2356.0
5.6,1,1,22.5,0.0,0.5,4.65,0.0,0.3,27.95,161,231,12,1443.0
7.04,1,1,21.5,0.0,0.5,5.61,5.76,0.3,33.67,138,42,14,1870.0
8.69,5,1,50.0,0.0,0.5,12.26,10.5,0.3,73.56,231,265,15,3051.0
6.4,1,1,21.5,0.5,0.5,5.7,0.0,0.3,28.5,264,264,0,2037.0
10.7,1,1,38.5,0.5,0.5,7.95,0.0,0.3,47.75,236,189,1,2165.0
7.37,1,1,23.5,0.5,0.5,0.2,0.0,0.3,25.0,256,228,2,1909.0
5.99,1,1,24.5,0.5,0.5,5.16,0.0,0.3,30.96,170,43,2,1905.0
8.2,1,1,28.0,0.5,0.5,5.85,0.0,0.3,35.15,256,142,3,2248.0
12.33,1,1,36.0,0.5,0.5,9.32,0.0,0.3,46.62,100,14,4,2482.0
11.46,1,1,32.5,0.5,0.5,4.4,2.64,0.3,40.84,230,200,4,3331.0
20.2,1,1,55.0,0.5,0.5,11.26,0.0,0.3,67.56,132,106,5,3788.000000000001
0.3,1,1,3.0,0.5,0.5,0.85,0.0,0.3,5.15,148,144,5,2479.0
9.67,1,1,29.0,0.0,0.5,5.96,0.0,0.3,35.76,161,138,8,2039.0
9.5,1,1,27.0,0.0,0.5,8.35,5.76,0.3,41.91,138,237,9,2262.0
6.54,1,1,24.5,0.0,0.5,6.32,0.0,0.3,31.62,234,37,12,2738.0
5.38,1,1,21.5,0.0,0.5,5.58,0.0,0.3,27.88,144,236,13,1658.0
0.41,5,1,85.0,0.0,0.0,17.06,0.0,0.3,102.36,265,265,15,1476.0
13.87,1,1,40.0,0.0,0.5,8.16,0.0,0.3,48.96,138,181,17,2083.0
7.0,1,1,22.0,1.0,0.5,4.75,0.0,0.3,28.55,68,41,19,2510.0
6.46,1,1,22.0,0.0,0.5,4.0,0.0,0.3,26.8,113,24,19,2483.0
10.8,1,1,31.0,0.0,0.5,7.5,5.76,0.3,45.06,138,43,19,101.0
8.75,1,1,25.0,0.5,0.5,6.41,5.76,0.3,38.47,138,262,20,1732.0
10.0,1,1,30.5,0.5,0.5,9.35,5.76,0.3,46.91,138,143,21,4938.0
7.8,1,1,26.5,0.5,0.5,5.55,0.0,0.3,33.35,113,152,21,2498.0
8.79,1,1,25.5,0.5,0.5,4.88,5.76,0.3,37.44,138,236,21,3191.0
21.58,1,1,61.0,0.5,0.5,15.58,0.0,0.3,77.88,132,181,21,3059.0
8.12,1,1,23.5,0.5,0.5,4.96,0.0,0.3,29.76,132,265,23,3195.0
9.6,1,1,29.0,0.5,0.5,7.2,5.76,0.3,43.26,138,246,23,1607.0
8.9,1,1,26.5,0.5,0.5,5.55,0.0,0.3,33.35,107,116,0,1427.0
4.96,1,1,21.5,0.5,0.5,4.56,0.0,0.3,27.36,163,144,1,2266.0
8.7,1,1,33.0,0.5,0.5,6.85,0.0,0.3,41.15,170,36,2,2210.0
5.91,1,1,22.0,0.5,0.5,10.14,10.5,0.3,43.94,100,87,2,1414.0
8.96,1,1,30.0,0.5,0.5,9.39,0.0,0.3,40.69,100,181,3,1173.0
6.9,1,1,22.0,0.5,0.5,4.5,0.0,0.3,27.8,24,79,4,1753.0
9.36,5,1,50.0,0.0,0.5,12.66,12.5,0.3,75.96,229,265,6,2487.0
10.25,1,1,30.5,0.0,0.5,6.26,0.0,0.3,37.56,143,138,7,2301.0
9.72,1,1,29.0,0.0,0.5,7.11,5.76,0.3,42.67,237,138,11,1595.0
4.92,1,1,23.0,0.0,0.5,4.76,0.0,0.3,28.56,230,231,11,1850.0
8.36,1,1,25.0,0.0,0.5,5.16,0.0,0.3,30.96,237,196,11,1383.0
13.13,1,1,38.5,0.0,0.5,9.01,5.76,0.3,54.07,255,244,11,1953.0
12.39,1,1,41.0,0.0,0.5,10.45,0.0,0.3,52.25,132,33,12,1440.0
0.32,1,1,3.0,0.0,0.5,0.95,0.0,0.3,4.75,236,75,13,103.0
17.9,3,1,67.5,0.0,0.0,16.65,15.5,0.3,99.95,234,1,14,70.0
6.9,1,1,23.5,0.5,0.5,4.95,0.0,0.3,29.75,162,49,0,2785.0
19.71,1,1,53.5,0.5,0.5,6.0,5.76,0.3,66.56,132,167,0,2410.0
13.3,1,1,38.0,0.5,0.5,7.85,0.0,0.3,47.15,79,14,0,3662.000000000001
7.19,1,1,24.0,0.5,0.5,5.06,0.0,0.3,30.36,43,231,0,1570.0
7.2,1,1,28.0,0.5,0.5,5.85,0.0,0.3,35.15,79,41,0,1185.0
6.9,1,1,26.5,0.5,0.5,4.17,0.0,0.3,31.97,164,61,1,2234.0
7.42,1,1,26.5,0.5,0.5,5.56,0.0,0.3,33.36,25,39,1,2137.0
2.9,1,1,24.0,0.5,0.5,15.0,0.0,0.3,40.3,161,48,1,1553.0
10.2,1,1,32.0,0.5,0.5,6.65,0.0,0.3,39.95,256,170,1,1342.0
9.98,1,1,29.5,0.5,0.5,7.7,0.0,0.3,38.5,239,52,1,1847.0
5.6,1,1,21.5,0.5,0.5,2.86,5.76,0.3,31.42,68,255,2,2998.0
7.72,1,1,25.5,0.5,0.5,5.36,0.0,0.3,32.16,113,166,3,1770.0
6.8,1,1,23.5,0.5,0.5,4.96,0.0,0.3,29.76,211,238,3,1698.0
8.78,1,1,27.0,0.5,0.5,5.66,0.0,0.3,33.96,236,138,4,2549.0
6.34,1,1,22.0,0.5,0.5,5.82,0.0,0.3,29.12,142,157,4,1452.0
13.2,1,1,39.5,0.0,0.5,8.05,0.0,0.3,48.35,132,25,6,3168.0
9.3,1,1,27.5,0.0,0.5,6.0,5.76,0.3,40.06,138,164,7,1654.0
11.41,1,1,34.0,0.0,0.5,12.17,5.76,0.3,52.73,230,138,9,1836.0
12.1,1,1,34.0,0.0,0.5,3.5,0.0,0.3,38.3,141,28,10,2112.0
9.5,1,1,30.5,0.0,0.5,7.4,5.76,0.3,44.46,138,151,11,1754.0
10.53,1,1,31.5,0.0,0.5,6.46,0.0,0.3,38.76,138,225,11,2666.0
9.7,1,1,31.5,0.0,0.5,7.6,5.76,0.3,45.66,230,138,11,2242.0
9.75,1,1,29.5,0.0,0.5,7.21,5.76,0.3,43.27,138,229,12,3180.0
8.25,1,1,24.5,0.0,0.5,6.21,5.76,0.3,37.27,138,69,11,1955.0
9.0,1,1,38.5,0.0,0.5,10.7,0.0,0.3,50.0,138,234,13,1895.0
14.59,1,1,39.5,0.0,0.5,8.06,0.0,0.3,48.36,138,133,13,2518.0
8.34,1,1,24.5,1.0,0.5,3.21,5.76,0.3,35.27,138,164,17,3640.0
0.15,1,1,3.0,0.0,0.5,0.76,0.0,0.3,4.56,238,238,18,2359.0
0.29,1,1,3.0,0.0,0.5,0.38,0.0,0.3,4.18,90,249,18,3209.0
10.58,1,1,32.0,0.0,0.5,9.64,5.76,0.3,48.2,138,43,18,2416.0
7.9,1,1,27.0,0.5,0.5,4.0,0.0,0.3,32.3,113,41,0,2760.0
5.09,1,1,22.0,0.5,0.5,4.66,0.0,0.3,27.96,144,143,0,1839.0
7.0,1,1,25.5,0.5,0.5,6.7,0.0,0.3,33.5,151,211,0,1099.0
7.86,1,1,22.5,0.5,0.5,5.95,0.0,0.3,29.75,138,145,0,1962.0
10.18,1,1,32.0,0.5,0.5,9.76,5.76,0.3,48.82,244,226,1,2025.0
10.38,1,1,33.0,0.5,0.5,6.86,0.0,0.3,41.16,141,189,2,998.0
0.2,1,1,3.0,0.5,0.5,0.85,0.0,0.3,5.15,107,107,2,1281.0
8.7,1,1,27.0,0.5,0.5,5.65,0.0,0.3,33.95,148,7,3,1960.0
8.05,1,1,24.0,0.0,0.5,4.96,0.0,0.3,29.76,229,231,9,1874.0
11.6,1,1,32.5,0.0,0.5,6.65,0.0,0.3,39.95,138,87,9,2027.0
8.63,1,1,27.5,0.0,0.5,7.08,0.0,0.3,35.38,138,234,10,2785.0
11.99,1,1,36.0,0.0,0.5,7.36,0.0,0.3,44.16,132,17,10,2514.0
9.78,1,1,28.5,0.0,0.5,7.01,5.76,0.3,42.07,170,138,12,1983.0
15.71,1,1,42.0,0.0,0.5,8.56,0.0,0.3,51.36,138,257,12,3208.0
8.29,1,1,27.0,0.0,0.5,8.39,5.76,0.3,41.95,138,238,14,2704.0
8.95,1,1,27.5,0.0,0.5,6.81,5.76,0.3,40.87,138,238,14,1635.0
8.44,1,1,26.5,0.0,0.5,5.46,0.0,0.3,34.71,263,138,14,2004.0
7.3,1,1,23.5,0.0,0.5,4.86,0.0,0.3,29.16,87,142,15,4062.000000000001
13.41,1,1,41.5,0.5,0.5,8.56,0.0,0.3,51.36,224,20,0,1352.0
8.44,1,1,25.0,0.5,0.5,7.89,0.0,0.3,34.19,138,134,0,1561.0
8.4,1,1,27.0,0.5,0.5,5.65,0.0,0.3,33.95,79,82,0,1866.0
5.8,1,1,21.5,0.5,0.5,4.56,0.0,0.3,27.36,107,7,1,1418.0
8.46,1,1,26.5,0.5,0.5,5.56,0.0,0.3,33.36,229,243,1,926.0
11.4,1,1,37.0,0.5,0.5,7.65,0.0,0.3,45.95,50,61,1,1217.0
4.8,1,1,22.5,0.5,0.5,7.1,0.0,0.3,30.9,113,79,2,1176.0
9.5,1,1,33.0,0.5,0.5,6.85,0.0,0.3,41.15,90,72,2,1497.0
7.69,1,1,26.5,0.5,0.5,6.95,0.0,0.3,34.75,113,61,2,1735.0
8.4,1,1,26.5,0.5,0.5,6.7,5.76,0.3,40.26,68,228,2,1175.0
7.35,1,1,25.0,0.5,0.5,3.94,0.0,0.3,30.24,90,116,3,1614.0
5.3,1,1,22.5,0.5,0.5,4.75,0.0,0.3,28.55,114,225,3,924.0
9.96,1,1,28.5,0.0,0.5,7.01,5.76,0.3,42.07,230,138,6,908.0
10.4,1,1,29.0,0.0,0.5,7.1,5.76,0.3,42.66,138,127,8,871.0
6.41,1,1,21.5,0.0,0.5,4.46,0.0,0.3,28.71,151,79,9,1453.0
14.8,1,1,40.0,0.0,0.5,12.24,0.0,0.3,53.04,132,226,10,1457.0
7.66,1,1,23.5,0.0,0.5,7.29,0.0,0.3,31.59,263,231,10,2381.0
8.31,1,1,26.5,0.0,0.5,4.0,5.76,0.3,37.06,223,143,14,2014.0
13.55,1,1,37.5,0.0,0.5,6.0,5.76,0.3,50.06,138,114,14,2611.0
6.5,1,1,22.0,0.0,0.5,4.56,0.0,0.3,27.36,48,181,15,2128.0
6.1,1,1,21.5,0.5,0.5,5.7,0.0,0.3,28.5,161,87,0,1449.0
7.52,1,1,23.5,0.5,0.5,4.96,0.0,0.3,29.76,263,261,1,1454.0
5.71,1,1,21.5,0.5,0.5,6.84,0.0,0.3,29.64,264,264,1,3265.0
9.64,1,1,31.0,0.5,0.5,6.46,0.0,0.3,40.71,87,202,1,2863.0
8.8,1,1,32.0,0.5,0.5,6.65,0.0,0.3,39.95,48,36,3,2147.0
7.51,1,1,26.5,0.5,0.5,8.39,5.76,0.3,41.95,79,24,3,2859.0
9.67,1,1,28.5,0.5,0.5,5.96,0.0,0.3,35.76,141,138,4,2232.0
11.56,1,1,34.0,0.0,0.5,5.08,5.76,0.3,45.64,230,138,7,2975.0
0.23,1,1,3.0,0.0,0.5,1.14,0.0,0.3,4.94,249,249,9,2681.0
6.83,1,1,21.5,0.0,0.5,2.7,0.0,0.3,25.0,244,163,9,1622.0
0.27,1,1,3.0,0.0,0.5,0.76,0.0,0.3,4.56,142,142,10,2047.0
11.33,1,1,32.0,0.0,0.5,7.71,5.76,0.3,46.27,138,137,12,1491.0
8.75,1,1,27.0,0.0,0.5,6.71,5.76,0.3,40.27,138,116,11,3751.000000000001
11.1,1,1,31.0,0.0,0.5,9.35,5.76,0.3,46.91,138,224,14,1802.0
9.0,1,1,26.5,0.0,0.5,5.45,0.0,0.3,32.75,236,33,14,2064.0
16.28,1,1,46.0,0.0,0.5,9.0,0.0,0.3,55.8,132,255,15,2424.0
13.43,1,1,42.0,0.0,0.5,8.56,0.0,0.3,51.36,132,25,15,1312.0
9.0,1,1,27.0,0.0,0.5,5.03,5.76,0.3,38.59,138,238,16,1830.0
13.45,1,1,39.0,0.0,0.5,7.96,0.0,0.3,47.76,138,181,17,1483.0
18.35,1,1,50.0,0.0,0.5,10.16,0.0,0.3,60.96,132,33,19,1268.0
0.32,1,1,3.0,0.5,0.5,0.86,0.0,0.3,5.16,263,263,20,1080.0
10.07,1,1,28.5,0.5,0.5,5.33,5.76,0.3,40.89,138,141,20,1471.0
13.05,1,1,37.0,0.5,0.5,8.81,5.76,0.3,52.87,138,68,20,1538.0
11.85,1,1,34.0,0.5,0.5,8.21,5.76,0.3,49.27,138,220,21,1566.0
9.55,1,1,29.5,0.5,0.5,7.31,5.76,0.3,43.87,138,141,21,1841.0
16.62,1,1,46.5,0.5,0.5,9.56,0.0,0.3,57.36,132,37,23,1446.0
7.8,1,1,22.0,0.5,0.5,5.8,5.76,0.3,34.86,138,170,23,958.0
6.04,1,1,23.5,0.0,0.5,7.29,0.0,0.3,31.59,186,255,16,1320.0
8.68,1,1,26.5,0.0,0.5,6.61,5.76,0.3,39.67,138,41,17,1419.0
11.08,1,1,32.0,0.0,0.5,7.71,5.76,0.3,46.27,138,161,17,3.0
10.4,1,1,35.0,0.0,0.5,7.15,0.0,0.3,42.95,138,231,17,2068.0
6.57,1,1,22.5,0.0,0.5,4.66,0.0,0.3,27.96,13,170,17,2328.0
9.85,1,1,29.5,0.0,0.5,10.82,5.76,0.3,46.88,138,238,18,1207.0
10.8,1,1,30.5,0.0,0.5,6.7,0.0,0.3,38.0,138,113,19,1563.0
6.22,1,1,23.0,0.0,0.5,3.08,0.0,0.3,26.88,230,256,19,2267.0
8.04,1,1,24.0,0.5,0.5,5.06,0.0,0.3,30.36,138,112,20,863.0
6.5,1,1,21.5,0.5,0.5,4.55,0.0,0.3,27.35,88,239,21,1649.0
15.2,1,1,41.0,0.5,0.5,8.45,0.0,0.3,50.75,264,264,21,947.0
9.22,1,1,26.5,0.5,0.5,5.56,0.0,0.3,33.36,88,74,22,1949.0
16.75,1,1,46.5,0.5,0.5,9.56,0.0,0.3,57.36,132,256,22,1825.0
20.9,5,1,58.5,0.0,0.0,12.9,5.76,0.3,77.46,132,244,22,1975.0
12.35,1,1,36.0,0.5,0.5,8.61,5.76,0.3,51.67,138,50,23,1631.0
8.9,1,1,25.5,0.5,0.5,5.36,0.0,0.3,32.16,237,220,20,2568.0
19.2,1,1,51.0,0.5,0.5,10.45,0.0,0.3,62.75,132,33,22,2358.0
12.84,1,1,36.5,0.5,0.5,5.67,0.0,0.3,43.47,138,87,22,3070.0
14.24,1,1,38.0,0.5,0.5,7.86,0.0,0.3,47.16,132,7,22,1559.0
8.6,1,1,25.0,0.5,0.5,5.25,0.0,0.3,31.55,138,141,23,1741.0
10.4,1,1,29.5,0.5,0.5,7.31,5.76,0.3,43.87,138,229,23,1601.0
5.4,1,1,22.5,0.5,0.5,4.75,0.0,0.3,28.55,234,7,0,1638.0
8.2,1,1,26.5,0.5,0.5,4.0,0.0,0.3,31.8,264,264,0,1647.0
5.5,1,1,21.5,0.5,0.5,4.55,0.0,0.3,27.35,79,65,0,2062.0
5.28,1,1,22.0,0.5,0.5,1.8,0.0,0.3,25.1,164,166,0,2242.0
7.67,1,1,29.0,0.5,0.5,7.58,0.0,0.3,37.88,158,116,1,1090.0
9.02,1,1,28.5,0.5,0.5,5.96,0.0,0.3,35.76,229,243,1,3193.0
5.93,1,1,21.5,0.5,0.5,4.56,0.0,0.3,27.36,125,75,2,2057.0
8.37,1,1,27.5,0.5,0.5,5.76,0.0,0.3,34.56,223,166,1,1374.0
5.91,1,1,21.5,0.5,0.5,100.0,0.0,0.3,122.8,170,209,1,2039.0
6.03,1,1,26.0,0.5,0.5,5.46,0.0,0.3,32.76,68,80,1,1898.0
5.2,1,1,21.5,0.5,0.5,5.7,0.0,0.3,28.5,236,90,2,1403.0
5.2,1,1,22.5,0.5,0.5,7.1,0.0,0.3,30.9,238,79,2,1440.0
7.66,1,1,24.0,0.5,0.5,4.0,0.0,0.3,29.3,181,137,2,1785.0
9.7,1,1,33.5,0.5,0.5,6.96,0.0,0.3,41.76,48,36,3,1325.0
7.54,1,1,27.5,0.5,0.5,5.76,0.0,0.3,34.56,231,179,3,1119.0
5.7,1,1,23.0,0.5,0.5,7.25,0.0,0.3,31.55,114,36,4,2130.0
8.04,1,1,24.5,0.5,0.5,5.16,0.0,0.3,30.96,68,116,5,1281.0
7.5,1,1,25.0,0.5,0.5,5.26,0.0,0.3,31.56,148,263,4,2486.0
11.2,1,1,33.5,0.0,0.5,8.0,5.76,0.3,48.06,230,138,7,2305.0
6.51,1,1,21.5,0.0,0.5,3.5,0.0,0.3,25.8,246,7,7,1784.0
10.3,1,1,33.0,0.0,0.5,6.76,0.0,0.3,40.56,132,62,7,1432.0
12.16,1,1,33.5,0.0,0.5,6.86,0.0,0.3,41.16,138,76,9,1412.0
11.1,1,1,34.0,0.0,0.5,8.7,0.0,0.3,43.5,138,158,12,2335.0
15.04,1,1,41.0,0.0,0.5,8.36,0.0,0.3,50.16,132,179,13,1810.0
34.75,1,1,90.0,0.0,0.5,15.0,11.52,0.3,117.32,132,5,13,1325.0
9.6,1,1,28.5,0.0,0.5,3.5,5.76,0.3,38.56,48,138,14,1298.0
12.09,1,1,34.0,0.0,0.5,6.0,5.76,0.3,46.56,138,137,14,2210.0
9.5,1,1,28.5,0.0,0.5,7.0,5.76,0.3,42.06,138,239,14,1916.0
18.3,1,1,49.0,0.0,0.5,8.0,0.0,0.3,57.8,132,97,14,1190.0
7.59,1,1,23.5,0.0,0.5,3.7,0.0,0.3,28.0,138,37,15,1323.0
9.93,1,1,30.0,0.0,0.5,7.31,5.76,0.3,43.87,138,239,15,2117.0
10.44,1,1,31.0,0.0,0.5,7.51,5.76,0.3,45.07,138,142,15,3312.0
0.27,1,1,3.0,0.0,0.5,0.76,0.0,0.3,4.56,151,238,16,2511.0
6.5,1,1,23.0,0.0,0.5,5.95,0.0,0.3,29.75,162,80,16,1556.0
5.57,1,1,22.0,0.0,0.5,4.56,0.0,0.3,27.36,158,181,17,1814.0
10.2,1,1,31.5,0.0,0.5,7.6,5.76,0.3,45.66,138,237,17,2460.0
8.6,1,1,26.0,0.0,0.5,6.5,5.76,0.3,39.06,264,264,17,66.0
8.47,1,1,25.0,0.0,0.5,5.16,0.0,0.3,30.96,138,37,18,2157.0
8.39,1,1,23.5,0.0,0.5,6.08,0.0,0.3,30.38,138,217,18,2080.0
8.45,1,1,24.5,0.5,0.5,6.31,5.76,0.3,37.87,138,107,20,1977.0
10.3,1,1,31.0,0.5,0.5,7.6,5.76,0.3,45.66,138,239,20,2677.0
19.33,1,1,52.5,0.5,0.5,10.76,0.0,0.3,64.56,132,112,22,1844.0
9.16,1,1,26.0,0.0,0.5,6.51,5.76,0.3,39.07,234,138,15,999.0
7.17,1,1,22.5,0.0,0.5,2.33,0.0,0.3,27.58,107,42,16,1544.0
9.2,1,1,28.5,0.0,0.5,5.5,5.76,0.3,40.56,138,239,16,1599.0
8.5,1,1,26.0,0.0,0.5,3.91,5.76,0.3,36.47,138,233,17,1812.0
10.7,1,1,32.0,0.0,0.5,7.7,5.76,0.3,46.26,138,79,18,953.0
6.19,1,1,22.0,0.0,0.5,4.56,0.0,0.3,27.36,261,239,18,1437.0
7.9,1,1,25.0,0.5,0.5,4.0,0.0,0.3,30.3,164,261,20,998.0
15.9,1,1,43.5,0.5,0.5,8.95,0.0,0.3,53.75,132,37,20,1997.0
11.3,1,1,32.5,0.5,0.5,8.45,0.0,0.3,42.25,261,244,21,2389.0
8.54,1,1,26.0,0.5,0.5,6.61,5.76,0.3,39.67,138,166,21,3983.000000000001
21.9,1,1,57.5,0.5,0.5,10.0,5.76,0.3,74.56,132,241,21,2407.0
6.58,1,1,22.0,0.5,0.5,4.0,0.0,0.3,27.3,48,74,21,1574.0
6.8,1,1,24.0,0.5,0.5,6.32,0.0,0.3,31.62,48,256,22,2974.0
12.88,1,1,36.5,0.5,0.5,7.56,0.0,0.3,45.36,138,106,22,1980.0
9.3,1,1,29.0,0.0,0.5,8.85,5.76,0.3,44.41,138,164,16,3514.0
8.76,1,1,27.5,0.0,0.5,6.81,5.76,0.3,40.87,138,234,17,2977.0
7.7,1,1,22.5,0.0,0.5,5.8,5.76,0.3,34.86,138,263,19,2122.0
8.7,1,1,28.5,0.5,0.5,4.2,0.0,0.3,34.0,68,160,20,2238.0
10.4,1,1,31.5,0.5,0.5,8.2,0.0,0.3,41.0,138,61,21,2255.0
10.2,1,1,34.0,0.5,0.5,5.29,0.0,0.3,40.59,239,61,21,2543.0
8.6,1,1,24.5,0.5,0.5,6.31,5.76,0.3,37.87,138,107,22,1731.0
10.51,1,1,31.0,0.5,0.5,7.61,5.76,0.3,45.67,138,239,22,1386.0
0.11,5,1,59.0,0.0,0.5,11.96,0.0,0.3,71.76,237,237,22,723.0
10.9,1,1,32.0,0.0,0.5,6.55,0.0,0.3,39.35,170,244,15,1706.0
11.11,1,1,31.5,0.0,0.5,4.0,0.0,0.3,36.3,138,33,16,939.0
8.61,1,1,27.5,0.0,0.5,5.66,0.0,0.3,33.96,186,181,16,1269.0
6.0,1,1,23.0,0.0,0.5,3.57,0.0,0.3,27.37,48,256,16,1678.0
13.6,1,1,43.5,0.0,0.5,0.05,0.0,0.3,44.35,186,55,17,1451.0
5.9,1,1,23.0,0.0,0.5,4.76,0.0,0.3,28.56,234,179,17,2148.0
8.6,1,1,28.0,0.0,0.5,5.75,0.0,0.3,34.55,264,262,18,55.0
14.12,1,1,39.5,0.0,0.5,8.06,0.0,0.3,48.36,138,257,19,2193.0
7.3,1,1,21.5,0.0,0.5,3.5,5.76,0.3,31.56,138,263,19,2020.0
16.86,1,1,45.5,0.0,0.5,9.26,0.0,0.3,55.56,132,21,20,1843.0
15.19,1,1,41.5,0.5,0.5,8.56,0.0,0.3,51.36,132,112,21,1311.0
11.42,1,1,33.0,0.5,0.5,5.14,0.0,0.3,39.44,138,52,21,1541.0
11.75,1,1,33.5,0.5,0.5,6.96,0.0,0.3,41.76,138,231,23,1512.0
8.66,1,1,27.0,0.0,0.5,5.56,0.0,0.3,33.36,263,13,16,955.0
6.33,1,1,22.0,0.0,0.5,4.0,0.0,0.3,26.8,161,231,16,1961.0
7.81,1,1,22.0,0.0,0.5,5.71,5.76,0.3,34.27,138,262,19,1357.0
9.1,1,1,27.0,0.0,0.5,5.55,0.0,0.3,33.35,138,17,19,1149.0
10.5,1,1,32.0,0.0,0.5,9.8,0.0,0.3,42.6,138,181,19,1429.0
8.6,1,1,27.5,0.5,0.5,6.9,5.76,0.3,41.46,138,238,20,988.0
11.4,1,1,33.5,0.5,0.5,6.95,0.0,0.3,41.75,132,37,22,34.0
8.6,1,1,32.0,0.5,0.5,6.65,0.0,0.3,39.95,100,61,22,1860.0
12.42,1,1,39.0,0.5,0.5,10.08,0.0,0.3,50.38,138,66,22,2360.0
5.6,1,1,22.5,0.5,0.5,4.75,0.0,0.3,28.55,113,151,0,1673.0
6.37,1,1,23.5,0.5,0.5,4.0,0.0,0.3,28.8,234,179,0,1063.0
4.63,1,1,25.5,0.5,0.5,6.7,0.0,0.3,33.5,263,114,0,978.0
9.75,1,1,33.0,0.5,0.5,6.86,0.0,0.3,41.16,236,25,1,2046.0
6.6,1,1,24.5,0.5,0.5,5.15,0.0,0.3,30.95,143,148,1,1972.0
5.38,1,1,22.0,0.5,0.5,5.82,0.0,0.3,29.12,231,263,2,1107.0
7.3,1,1,25.0,0.5,0.5,5.25,0.0,0.3,31.55,236,243,2,1080.0
6.2,1,1,24.5,0.5,0.5,5.15,0.0,0.3,30.95,249,17,2,1430.0
5.2,1,1,22.0,0.5,0.5,6.0,0.0,0.3,29.3,148,37,2,916.0
6.61,1,1,32.0,0.5,0.5,8.32,0.0,0.3,41.62,211,61,2,2168.0
7.6,1,1,23.5,0.5,0.5,2.73,0.0,0.3,27.53,48,243,2,2513.0
7.87,1,1,27.0,0.5,0.5,6.81,5.76,0.3,40.87,80,239,4,1075.0
10.76,1,1,30.0,0.0,0.5,7.31,5.76,0.3,43.87,162,138,6,1708.0
16.18,1,1,45.5,0.0,0.5,9.26,0.0,0.3,55.56,132,112,6,1725.0
9.34,1,1,27.5,0.0,0.5,5.66,0.0,0.3,33.96,163,127,9,5286.0
