Age,Gender,Time_Spent,Product_Category,Purchased,Number_of_Items_Viewed,Device_Used
52,Male,30,Clothing,0,14,Mobile
46,Female,10,Electronics,1,4,Desktop
37,Male,6,Books,0,2,Mobile
62,Female,24,Books,1,3,Mobile
27,Female,10,Books,1,4,Desktop
18,Male,9,Electronics,0,13,Tablet
48,Male,28,Electronics,1,2,Tablet
21,Male,6,Clothing,1,15,Desktop
28,Female,31,Books,1,15,Mobile
30,Male,30,Books,0,3,Mobile
33,Female,29,Electronics,0,18,Mobile
19,Female,18,Electronics,0,9,Mobile
32,Male,6,Books,0,7,Mobile
46,Female,33,Clothing,1,1,Mobile
52,Male,49,Clothing,0,15,Desktop
39,Female,49,Clothing,1,17,Desktop
61,Male,41,Electronics,0,3,Tablet
62,Male,33,Books,1,9,Mobile
39,Female,43,Electronics,1,4,Tablet
36,Female,28,Electronics,1,9,Tablet
31,Male,37,Books,1,5,Desktop
57,Female,13,Books,1,16,Desktop
51,Female,16,Clothing,0,3,Mobile
50,Female,47,Books,1,4,Desktop
29,Male,9,Books,1,9,Desktop
35,Female,49,Electronics,0,18,Mobile
64,Male,30,Books,0,17,Desktop
31,Male,38,Electronics,0,4,Mobile
51,Female,34,Books,0,18,Tablet
58,Female,40,Books,0,13,Desktop
20,Female,12,Clothing,1,17,Mobile
63,Female,35,Clothing,1,19,Desktop
38,Male,31,Electronics,0,7,Desktop
33,Male,21,Books,0,11,Desktop
23,Female,41,Books,0,4,Desktop
23,Female,18,Clothing,1,19,Mobile
55,Male,15,Electronics,1,17,Tablet
55,Female,17,Books,0,19,Desktop
28,Male,43,Electronics,0,16,Mobile
21,Female,33,Electronics,1,3,Desktop
52,Male,31,Electronics,0,15,Mobile
53,Female,18,Books,1,12,Mobile
21,Female,9,Clothing,0,18,Mobile
55,Female,38,Clothing,0,13,Tablet
36,Male,22,Electronics,0,8,Tablet
28,Female,46,Clothing,1,12,Tablet
20,Male,26,Electronics,1,10,Mobile
55,Male,29,Books,0,7,Mobile
55,Male,47,Electronics,1,6,Tablet
38,Male,16,Clothing,1,4,Mobile
51,Female,13,Books,0,9,Desktop
56,Female,16,Books,1,1,Tablet
20,Male,10,Electronics,0,5,Mobile
38,Female,21,Electronics,0,15,Desktop
39,Male,44,Books,1,1,Mobile
29,Female,28,Clothing,0,6,Tablet
64,Male,16,Electronics,1,5,Mobile
18,Female,49,Electronics,1,2,Tablet
36,Male,7,Books,1,14,Tablet
28,Male,6,Books,0,8,Desktop
24,Male,41,Electronics,1,10,Tablet
39,Male,10,Books,1,1,Tablet
56,Male,33,Electronics,0,5,Desktop
57,Male,41,Electronics,1,8,Desktop
24,Male,30,Clothing,1,17,Tablet
46,Female,41,Books,0,5,Tablet
33,Female,47,Electronics,0,4,Mobile
62,Male,22,Electronics,0,8,Tablet
45,Male,45,Books,0,13,Desktop
39,Female,32,Books,1,5,Mobile
58,Female,18,Electronics,1,1,Desktop
36,Female,29,Clothing,1,6,Mobile
53,Female,28,Electronics,1,12,Mobile
56,Male,8,Clothing,1,11,Desktop
36,Female,13,Electronics,1,6,Tablet
36,Female,42,Clothing,0,8,Mobile
49,Male,20,Electronics,1,2,Tablet
60,Female,36,Clothing,0,10,Desktop
53,Male,43,Electronics,0,10,Desktop
43,Male,46,Books,0,10,Tablet
20,Female,41,Clothing,1,4,Mobile
52,Female,12,Clothing,1,12,Mobile
18,Male,26,Books,0,5,Desktop
54,Male,41,Clothing,0,16,Mobile
45,Male,37,Clothing,0,3,Mobile
50,Female,25,Clothing,1,3,Tablet
47,Female,30,Electronics,0,1,Mobile
57,Male,18,Books,0,9,Desktop
37,Male,33,Electronics,0,1,Desktop
26,Female,38,Clothing,1,17,Tablet
31,Female,29,Electronics,1,18,Desktop
50,Female,32,Books,1,2,Tablet
43,Male,35,Clothing,1,10,Tablet
41,Female,38,Clothing,1,2,Desktop
36,Male,48,Books,1,18,Desktop
36,Female,35,Books,1,15,Tablet
51,Male,11,Books,1,5,Tablet
28,Female,13,Books,0,5,Tablet
27,Female,36,Clothing,0,11,Tablet
47,Male,23,Electronics,0,8,Desktop
26,Female,49,Books,1,1,Tablet
18,Female,38,Electronics,1,11,Desktop
31,Male,10,Books,1,6,Tablet
43,Female,34,Books,0,14,Desktop
25,Male,39,Clothing,1,3,Mobile
29,Male,26,Electronics,0,13,Desktop
64,Female,10,Books,0,12,Desktop
53,Female,35,Clothing,1,3,Mobile
28,Male,33,Electronics,0,15,Mobile
36,Female,19,Books,1,10,Tablet
27,Female,26,Electronics,0,8,Desktop
33,Male,37,Clothing,1,14,Desktop
46,Female,7,Books,0,9,Mobile
59,Female,25,Clothing,1,5,Tablet
35,Male,7,Clothing,1,2,Tablet
52,Male,39,Electronics,0,13,Tablet
39,Male,17,Electronics,0,15,Desktop
35,Male,25,Books,0,16,Mobile
42,Male,42,Clothing,0,18,Desktop
64,Female,8,Books,1,10,Tablet
48,Male,30,Clothing,1,14,Mobile
29,Male,18,Clothing,1,5,Mobile
41,Male,20,Books,0,17,Desktop
42,Female,21,Clothing,0,16,Mobile
35,Male,27,Books,0,12,Mobile
22,Male,13,Clothing,1,1,Tablet
59,Female,17,Electronics,1,6,Mobile
43,Female,36,Electronics,0,4,Mobile
20,Male,32,Books,1,12,Mobile
58,Female,41,Books,1,4,Desktop
43,Male,38,Electronics,0,6,Mobile
23,Female,24,Books,0,15,Desktop
55,Female,17,Clothing,1,19,Mobile
49,Male,25,Clothing,1,7,Mobile
53,Female,9,Clothing,1,8,Desktop
55,Male,15,Books,1,2,Mobile
25,Male,45,Books,0,14,Tablet
45,Male,32,Books,1,16,Tablet
60,Male,28,Clothing,0,17,Mobile
41,Male,15,Electronics,0,3,Desktop
54,Male,5,Clothing,1,17,Mobile
35,Female,23,Electronics,0,2,Tablet
62,Male,7,Books,0,8,Mobile
47,Male,46,Electronics,0,9,Mobile
53,Female,27,Electronics,1,1,Tablet
46,Female,20,Clothing,0,3,Desktop
53,Female,14,Books,0,19,Tablet
29,Female,38,Electronics,0,10,Desktop
58,Male,42,Books,1,3,Desktop
28,Male,42,Books,0,14,Mobile
43,Female,43,Clothing,0,14,Tablet
49,Female,10,Books,0,3,Desktop
27,Female,12,Books,1,3,Tablet
23,Female,42,Clothing,1,12,Mobile
31,Male,17,Electronics,1,4,Mobile
52,Male,24,Clothing,1,17,Mobile
55,Male,46,Clothing,1,4,Desktop
55,Male,29,Clothing,0,7,Tablet
24,Male,20,Books,1,18,Tablet
40,Male,8,Books,0,17,Tablet
31,Female,15,Books,1,8,Desktop
42,Female,35,Electronics,0,19,Desktop
39,Female,35,Clothing,0,17,Mobile
29,Male,27,Electronics,1,7,Desktop
54,Female,45,Books,1,3,Desktop
60,Male,43,Clothing,1,15,Mobile
46,Female,9,Books,1,5,Tablet
23,Female,19,Clothing,1,10,Desktop
21,Male,27,Electronics,1,11,Mobile
40,Female,39,Clothing,1,19,Mobile
28,Female,24,Books,1,14,Desktop
56,Female,33,Electronics,1,17,Mobile
29,Female,10,Books,1,12,Desktop
46,Male,16,Electronics,0,18,Tablet
28,Female,45,Clothing,0,9,Tablet
31,Female,25,Electronics,1,17,Mobile
43,Male,45,Books,1,7,Mobile
43,Male,34,Books,1,5,Desktop
21,Male,35,Clothing,1,3,Mobile
32,Male,16,Books,1,17,Mobile
49,Male,42,Books,1,5,Desktop
19,Male,19,Clothing,1,1,Mobile
20,Male,14,Clothing,0,9,Mobile
27,Female,45,Books,1,7,Desktop
48,Male,18,Clothing,0,4,Tablet
28,Female,38,Books,0,13,Mobile
60,Female,20,Clothing,0,10,Mobile
56,Male,26,Electronics,1,4,Mobile
36,Female,34,Electronics,1,12,Mobile
49,Male,31,Books,1,12,Desktop
24,Female,47,Electronics,1,8,Tablet
41,Male,13,Electronics,0,6,Tablet
44,Female,8,Clothing,1,16,Tablet
26,Female,18,Clothing,1,14,Mobile
30,Female,12,Books,0,12,Tablet
34,Male,29,Clothing,1,5,Tablet
19,Female,43,Electronics,1,2,Desktop
58,Female,31,Electronics,0,18,Tablet
50,Male,35,Electronics,0,7,Mobile
22,Female,26,Electronics,0,17,Desktop
20,Female,47,Clothing,0,1,Desktop
18,Male,15,Electronics,0,2,Desktop
61,Male,26,Clothing,0,5,Desktop
33,Male,8,Books,0,17,Mobile
27,Female,16,Clothing,0,3,Tablet
31,Male,5,Books,1,2,Desktop
58,Male,34,Clothing,0,16,Tablet
35,Male,5,Clothing,0,3,Tablet
54,Male,35,Clothing,1,17,Mobile
21,Male,37,Electronics,0,12,Mobile
37,Male,42,Clothing,0,7,Mobile
34,Female,37,Clothing,1,14,Mobile
27,Female,5,Clothing,1,6,Desktop
53,Male,44,Books,0,3,Tablet
25,Male,24,Clothing,1,15,Desktop
44,Female,32,Electronics,0,11,Desktop
19,Female,9,Clothing,1,1,Mobile
28,Female,25,Electronics,1,11,Tablet
19,Male,39,Electronics,1,3,Mobile
22,Female,17,Clothing,1,8,Mobile
54,Male,30,Clothing,0,8,Desktop
45,Male,13,Electronics,0,16,Mobile
44,Male,16,Clothing,0,18,Mobile
55,Male,22,Electronics,1,17,Mobile
31,Female,17,Clothing,1,9,Mobile
41,Male,7,Books,0,2,Mobile
48,Male,44,Clothing,0,2,Desktop
24,Male,32,Clothing,0,15,Mobile
20,Female,36,Electronics,1,12,Tablet
57,Female,34,Clothing,1,6,Tablet
40,Male,35,Clothing,0,19,Mobile
48,Female,43,Books,0,12,Tablet
22,Male,30,Books,0,8,Tablet
55,Male,47,Electronics,0,12,Mobile
25,Female,37,Books,0,13,Mobile
29,Female,27,Clothing,1,4,Tablet
28,Female,49,Books,1,1,Mobile
26,Female,10,Electronics,0,13,Desktop
35,Male,10,Clothing,1,11,Mobile
55,Female,44,Books,0,4,Mobile
34,Female,21,Books,1,19,Tablet
21,Male,14,Clothing,0,4,Desktop
20,Female,27,Clothing,1,13,Mobile
31,Male,35,Clothing,0,9,Mobile
21,Female,18,Clothing,0,16,Desktop
60,Male,31,Electronics,0,17,Tablet
45,Female,41,Books,0,17,Tablet
23,Female,38,Books,1,7,Desktop
31,Female,22,Clothing,1,2,Desktop
36,Female,38,Clothing,1,2,Mobile
43,Male,23,Clothing,0,8,Mobile
41,Male,40,Books,0,7,Tablet
59,Female,7,Electronics,1,12,Tablet
28,Female,35,Clothing,0,15,Desktop
59,Male,22,Clothing,0,15,Tablet
32,Male,30,Clothing,0,12,Mobile
53,Male,42,Electronics,0,6,Mobile
43,Female,9,Clothing,0,2,Desktop
57,Male,38,Books,0,14,Desktop
45,Male,46,Clothing,0,17,Desktop
51,Female,43,Clothing,1,18,Tablet
48,Male,38,Books,0,12,Tablet
24,Female,42,Clothing,0,19,Tablet
29,Female,36,Electronics,1,5,Desktop
21,Male,6,Clothing,1,15,Mobile
36,Female,48,Clothing,0,2,Tablet
40,Female,41,Books,0,10,Mobile
48,Female,23,Electronics,0,1,Tablet
58,Female,48,Books,0,8,Desktop
22,Female,21,Books,0,4,Mobile
22,Male,17,Electronics,1,8,Tablet
23,Female,39,Books,1,11,Mobile
32,Female,35,Books,0,4,Mobile
45,Female,15,Electronics,1,4,Mobile
19,Female,9,Electronics,1,13,Desktop
33,Female,10,Electronics,0,2,Tablet
19,Female,29,Clothing,1,2,Desktop
18,Male,38,Electronics,0,17,Desktop
18,Male,12,Books,0,16,Tablet
60,Female,33,Books,1,3,Tablet
53,Female,23,Clothing,0,8,Mobile
36,Female,13,Clothing,1,12,Desktop
28,Male,30,Electronics,1,14,Desktop
19,Male,8,Books,1,7,Mobile
21,Female,39,Electronics,0,8,Mobile
55,Male,35,Electronics,1,1,Mobile
61,Male,27,Electronics,0,9,Desktop
20,Female,26,Books,0,10,Tablet
21,Female,20,Books,1,12,Desktop
24,Female,18,Electronics,0,6,Mobile
24,Male,37,Clothing,1,2,Mobile
35,Male,38,Books,1,2,Tablet
22,Male,12,Books,0,5,Desktop
37,Male,6,Clothing,0,9,Mobile
60,Female,6,Clothing,0,15,Mobile
49,Male,32,Electronics,1,10,Tablet
60,Male,43,Clothing,0,15,Desktop
33,Female,13,Clothing,1,12,Desktop
59,Female,10,Electronics,1,19,Mobile
40,Female,23,Books,1,16,Tablet
27,Male,39,Electronics,1,2,Mobile
38,Female,5,Books,0,17,Desktop
41,Male,5,Electronics,0,13,Tablet
33,Female,7,Electronics,1,9,Desktop
37,Female,16,Clothing,0,6,Mobile
36,Female,48,Electronics,1,4,Tablet
41,Female,22,Clothing,1,8,Mobile
18,Male,32,Clothing,0,16,Tablet
34,Female,35,Books,1,18,Tablet
58,Male,11,Electronics,1,6,Tablet
27,Male,45,Books,1,7,Mobile
51,Male,43,Books,0,14,Desktop
53,Female,25,Electronics,1,3,Desktop
27,Female,5,Books,0,17,Desktop
60,Female,7,Books,0,2,Tablet
23,Female,26,Electronics,1,10,Mobile
54,Male,29,Books,0,6,Tablet
57,Male,17,Electronics,0,8,Tablet
41,Male,30,Books,1,13,Desktop
46,Male,38,Clothing,1,11,Tablet
64,Female,25,Electronics,0,14,Tablet
64,Female,17,Clothing,1,3,Mobile
47,Female,13,Clothing,1,5,Tablet
52,Female,25,Clothing,1,13,Desktop
59,Female,15,Clothing,1,11,Tablet
48,Female,14,Clothing,0,1,Mobile
59,Male,5,Clothing,1,9,Tablet
59,Male,35,Electronics,0,10,Tablet
46,Male,7,Electronics,0,13,Mobile
57,Male,49,Electronics,0,12,Mobile
34,Male,36,Books,1,2,Desktop
51,Male,16,Electronics,1,19,Mobile
49,Female,11,Clothing,0,17,Tablet
30,Female,27,Books,1,14,Desktop
45,Female,33,Clothing,0,10,Desktop
43,Male,8,Books,1,9,Tablet
47,Female,10,Electronics,0,5,Desktop
22,Male,44,Clothing,1,12,Mobile
61,Female,11,Electronics,0,19,Desktop
57,Male,14,Books,0,11,Desktop
44,Male,23,Electronics,1,15,Mobile
30,Male,14,Electronics,0,5,Tablet
59,Male,42,Electronics,1,7,Mobile
63,Male,12,Clothing,0,13,Tablet
46,Male,16,Clothing,0,5,Desktop
26,Male,20,Electronics,1,4,Desktop
20,Female,11,Electronics,0,17,Tablet
25,Female,12,Clothing,0,16,Mobile
33,Female,37,Electronics,1,16,Desktop
18,Male,9,Electronics,0,4,Tablet
29,Male,32,Electronics,0,12,Mobile
55,Female,10,Electronics,1,15,Mobile
19,Female,29,Books,0,4,Mobile
44,Male,19,Clothing,1,10,Desktop
18,Female,26,Electronics,0,8,Mobile
44,Male,17,Electronics,1,3,Mobile
41,Male,9,Clothing,0,11,Mobile
28,Female,6,Electronics,1,19,Desktop
22,Male,6,Electronics,1,4,Mobile
55,Male,16,Electronics,1,13,Desktop
36,Female,14,Books,1,10,Mobile
58,Male,20,Clothing,1,10,Mobile
45,Female,27,Electronics,1,7,Tablet
32,Male,15,Clothing,1,13,Desktop
40,Male,7,Electronics,1,7,Mobile
19,Female,31,Electronics,1,3,Tablet
40,Male,12,Clothing,1,8,Tablet
60,Female,19,Books,1,7,Tablet
39,Female,11,Clothing,1,13,Tablet
35,Male,27,Books,1,4,Mobile
62,Male,36,Electronics,0,15,Desktop
32,Female,25,Clothing,0,16,Mobile
20,Male,38,Books,0,13,Tablet
60,Female,48,Books,1,14,Tablet
24,Male,35,Electronics,0,3,Desktop
25,Male,16,Clothing,1,11,Mobile
30,Female,46,Clothing,1,8,Tablet
52,Female,18,Books,0,12,Tablet
54,Male,48,Books,1,9,Tablet
54,Female,21,Electronics,0,2,Desktop
44,Female,38,Clothing,1,10,Tablet
26,Male,29,Clothing,0,17,Desktop
23,Male,35,Clothing,1,10,Mobile
62,Female,21,Clothing,1,3,Desktop
39,Female,45,Books,1,10,Mobile
56,Female,12,Clothing,0,13,Mobile
32,Female,8,Books,1,6,Desktop
28,Female,42,Clothing,1,11,Mobile
30,Female,41,Electronics,0,3,Mobile
29,Female,25,Electronics,0,12,Mobile
51,Female,37,Clothing,0,9,Mobile
57,Male,20,Clothing,0,7,Mobile
56,Female,47,Clothing,0,5,Tablet
59,Female,43,Clothing,1,14,Desktop
49,Female,8,Clothing,0,2,Mobile
33,Female,21,Clothing,1,9,Tablet
21,Male,39,Clothing,1,5,Tablet
57,Female,28,Books,0,9,Mobile
30,Male,25,Clothing,0,6,Desktop
19,Female,10,Clothing,1,7,Mobile
57,Female,21,Electronics,0,11,Tablet
42,Male,23,Books,0,8,Tablet
50,Male,27,Books,0,17,Tablet
45,Female,32,Electronics,1,18,Desktop
31,Male,48,Electronics,1,4,Desktop
46,Male,46,Books,0,3,Tablet
25,Female,10,Clothing,0,5,Mobile
40,Male,36,Clothing,1,19,Tablet
45,Male,37,Books,0,6,Desktop
25,Male,25,Electronics,0,13,Mobile
57,Male,20,Books,0,12,Mobile
36,Female,41,Clothing,1,17,Tablet
35,Female,17,Clothing,1,10,Desktop
34,Male,22,Clothing,0,6,Mobile
25,Female,5,Clothing,1,2,Mobile
59,Male,16,Electronics,0,13,Tablet
53,Male,15,Clothing,1,1,Desktop
48,Male,35,Books,0,2,Tablet
30,Female,35,Electronics,0,12,Desktop
39,Male,40,Electronics,1,2,Mobile
48,Female,30,Books,0,14,Tablet
27,Female,33,Clothing,0,7,Tablet
27,Male,49,Clothing,1,10,Desktop
31,Female,21,Clothing,1,17,Desktop
38,Male,17,Books,0,15,Desktop
57,Male,32,Books,1,10,Mobile
27,Male,44,Clothing,0,13,Mobile
38,Male,31,Clothing,0,19,Desktop
21,Male,28,Clothing,0,11,Mobile
33,Female,27,Books,0,7,Desktop
39,Female,20,Books,1,3,Tablet
21,Male,15,Clothing,1,1,Mobile
26,Female,12,Clothing,1,13,Desktop
30,Male,17,Books,1,17,Tablet
51,Male,6,Books,0,17,Tablet
35,Male,24,Clothing,1,13,Tablet
35,Female,36,Clothing,0,4,Desktop
53,Female,24,Clothing,1,6,Mobile
23,Male,24,Books,1,16,Tablet
48,Female,10,Electronics,1,6,Tablet
41,Male,32,Clothing,0,9,Mobile
20,Male,36,Electronics,1,1,Desktop
47,Male,8,Clothing,0,8,Mobile
45,Female,11,Books,1,6,Mobile
25,Female,40,Books,0,15,Tablet
62,Female,28,Clothing,0,7,Desktop
33,Male,29,Electronics,0,14,Mobile
54,Female,34,Electronics,0,6,Mobile
57,Male,36,Clothing,0,3,Tablet
20,Female,48,Books,1,3,Desktop
20,Male,14,Electronics,0,11,Mobile
64,Male,5,Books,1,11,Mobile
53,Male,23,Clothing,1,4,Mobile
18,Female,31,Books,1,5,Mobile
32,Female,44,Clothing,0,3,Desktop
58,Male,49,Books,0,12,Desktop
37,Female,26,Electronics,1,5,Tablet
58,Female,29,Clothing,0,2,Desktop
46,Female,32,Books,1,17,Mobile
19,Female,42,Books,0,18,Mobile
55,Female,9,Electronics,0,1,Desktop
55,Female,15,Books,0,2,Tablet
51,Male,42,Books,1,7,Desktop
49,Male,23,Clothing,1,6,Tablet
34,Female,21,Books,0,18,Mobile
51,Male,42,Electronics,0,1,Tablet
37,Female,43,Clothing,0,1,Mobile
31,Female,37,Electronics,0,9,Mobile
21,Female,44,Electronics,1,4,Mobile
33,Female,25,Clothing,0,6,Desktop
59,Female,45,Electronics,0,17,Mobile
40,Female,22,Clothing,1,9,Desktop
29,Female,18,Electronics,0,10,Desktop
22,Male,34,Electronics,0,3,Desktop
59,Female,26,Electronics,0,3,Desktop
45,Female,26,Clothing,1,5,Tablet
62,Male,28,Clothing,1,13,Tablet
47,Male,47,Electronics,0,3,Desktop
20,Female,9,Electronics,1,4,Mobile
28,Male,42,Electronics,0,15,Mobile
61,Male,44,Books,0,5,Desktop
31,Male,9,Electronics,1,8,Mobile
19,Male,48,Books,1,10,Mobile
49,Male,33,Electronics,1,14,Tablet
28,Male,22,Electronics,0,4,Desktop
61,Male,18,Electronics,0,10,Mobile
37,Male,32,Books,0,15,Tablet
26,Male,24,Clothing,1,17,Tablet
21,Male,22,Electronics,0,2,Tablet
22,Female,24,Electronics,0,10,Desktop
51,Female,47,Books,0,5,Mobile
45,Female,26,Clothing,1,11,Desktop
30,Female,38,Electronics,1,7,Mobile
61,Female,47,Books,0,10,Desktop
48,Male,9,Clothing,0,4,Desktop
22,Female,49,Clothing,0,4,Mobile
62,Female,12,Electronics,0,13,Mobile
18,Male,12,Clothing,0,11,Mobile
40,Female,44,Electronics,0,9,Tablet
51,Female,8,Books,0,9,Tablet
33,Female,43,Books,1,2,Mobile
33,Male,7,Books,0,10,Desktop
55,Male,5,Clothing,0,18,Mobile
48,Male,40,Electronics,1,6,Mobile
28,Male,49,Electronics,1,18,Desktop
43,Male,32,Books,1,16,Tablet
28,Female,37,Books,1,18,Desktop
59,Male,23,Electronics,1,7,Mobile
27,Female,39,Electronics,1,3,Desktop
26,Female,28,Books,1,4,Mobile
21,Female,20,Electronics,1,5,Mobile
45,Male,48,Electronics,0,10,Mobile
61,Male,29,Clothing,0,10,Tablet
46,Female,14,Books,0,12,Tablet
56,Female,9,Electronics,0,1,Desktop
20,Female,43,Electronics,1,17,Mobile
59,Male,17,Books,0,4,Mobile
63,Female,43,Books,1,4,Tablet
36,Male,45,Books,0,10,Tablet
38,Male,13,Electronics,0,1,Tablet
43,Male,36,Clothing,0,8,Desktop
37,Female,24,Electronics,0,16,Desktop
46,Male,12,Books,0,12,Mobile
31,Male,42,Books,0,7,Mobile
35,Female,15,Electronics,0,16,Desktop
20,Male,11,Books,1,18,Mobile
47,Female,10,Clothing,0,1,Desktop
37,Female,17,Books,0,12,Desktop
57,Male,18,Clothing,0,2,Desktop
43,Male,40,Clothing,1,11,Desktop
55,Male,40,Clothing,0,9,Mobile
56,Female,31,Clothing,0,13,Desktop
57,Male,41,Electronics,0,18,Mobile
54,Male,18,Clothing,0,16,Tablet
28,Female,7,Electronics,0,3,Mobile
36,Female,39,Books,0,2,Desktop
38,Male,31,Clothing,0,1,Desktop
45,Male,29,Books,1,3,Desktop
44,Female,19,Clothing,1,1,Tablet
18,Female,26,Electronics,1,18,Mobile
19,Female,18,Books,1,5,Desktop
51,Female,35,Electronics,1,17,Tablet
48,Male,20,Clothing,1,4,Desktop
28,Female,29,Electronics,1,17,Mobile
64,Male,47,Clothing,0,10,Mobile
57,Female,48,Electronics,0,4,Tablet
31,Male,36,Electronics,0,7,Mobile
26,Male,16,Clothing,1,3,Desktop
57,Female,42,Clothing,0,16,Desktop
41,Male,17,Clothing,0,6,Desktop
31,Female,22,Electronics,1,5,Tablet
34,Male,48,Clothing,1,9,Mobile
28,Female,34,Clothing,0,4,Desktop
51,Male,12,Clothing,1,15,Tablet
30,Female,5,Electronics,1,9,Mobile
54,Male,17,Books,1,13,Tablet
38,Female,28,Clothing,1,1,Desktop
55,Male,42,Electronics,0,12,Desktop
61,Female,30,Electronics,1,19,Mobile
49,Female,22,Books,1,11,Mobile
52,Female,35,Clothing,0,7,Tablet
55,Male,21,Clothing,0,5,Mobile
43,Male,46,Electronics,1,17,Desktop
26,Female,40,Clothing,1,16,Desktop
51,Male,40,Clothing,0,1,Tablet
51,Male,19,Books,1,9,Mobile
