Region,Sector,Year,Employment,Investment,Growth Rate (%),Exports,Environmental Impact,Revenue
Kakinada,Agriculture,2016,45080,561,-5.572233015,229,Medium,544.7397727868386
Nellore,Manufacturing,2018,1301,230,9.307311729270959,197,Low,236.40681697732322
Vijayawada,Manufacturing,2016,33745,784,16.105328518157783,332,Medium,1017.265775582357
Vijayawada,Technology,2023,1784,153,12.425393524881699,308,Medium,294.0108521
Visakhapatnam,Energy,2015,24355,555,-4.870378431,45,Low,91.96939970989067
Kakinada,Technology,2016,14121,,9.457003525,351,High,844.2899599
Visakhapatnam,Healthcare,2023,5777,887,2.5816378668305706,453,Low,385.89912787878717
Nellore,Healthcare,2017,33093,96,12.487805269179844,433,Low,480.98829305841264
Kakinada,Technology,2016,48030,395,-4.366231415,126,Medium,872.7533859122765
Visakhapatnam,Technology,2023,47175,687,-2.653167748,98,Low,965.7727375714619
Nellore,Agriculture,2018,20531,203,-1.100683034,494,Medium,793.7656134415515
Nellore,Healthcare,2017,44919,267,14.084110575097775,350,High,748.6045752355111
Nellore,Healthcare,2023,3849,229,4.365315365661781,259,High,550.9965721873655
Vijayawada,Manufacturing,2021,26471,209,18.50575603562394,161,Medium,812.6770301
Kakinada,Agriculture,2018,33320,466,6.2871192964447005,52,Low,525.2979759214323
Guntur,Manufacturing,2015,29761,825,4.634915524139126,467,Medium,555.2380530741478
Nellore,Agriculture,2015,1412,425,8.376776095097146,286,Low,895.6012984041629
Visakhapatnam,Agriculture,2016,21463,597,-0.699547855,496,High,284.82369930457287
Visakhapatnam,Agriculture,2020,22352,847,12.563822666989168,71,Low,547.4155779893982
Guntur,Healthcare,2022,5360,504,18.92002212816141,232,High,700.3569115259335
Kakinada,Agriculture,2022,22972,533,13.654863572042256,153,Low,210.7804228389852
Nellore,Agriculture,2023,39102,782,-1.227124686,155,High,677.4038849539314
Nellore,Technology,2019,28569,844,12.656055678912406,14,Low,370.8171099300207
Kakinada,Manufacturing,2019,41262,266,9.797218470532108,301,Medium,377.0606011316154
Vijayawada,Agriculture,2023,29710,175,2.3156276072714785,150,Medium,323.0523483127251
Visakhapatnam,Agriculture,2022,43956,397,14.054313711863546,200,Low,563.7956254360982
Nellore,Agriculture,2018,12003,278,-3.6752458,156,Low,490.78281667525226
Nellore,Agriculture,2014,20087,520,-8.863840491,21,Medium,788.9080294443895
Vijayawada,Healthcare,2018,37487,747,0.7348686426237414,37,Low,145.48946876039935
Visakhapatnam,Energy,2022,36547,801,-0.934576516,55,High,344.51404210381446
Vijayawada,Technology,2022,20255,847,16.65159723751021,374,Low,359.0390286017115
Guntur,Energy,2014,24833,112,4.8247362244714775,324,High,793.4037045714081
Nellore,Healthcare,2014,19384,758,19.992941832153264,367,High,687.5464990877217
Visakhapatnam,Energy,2016,39765,50,18.85127568146806,214,Medium,557.4256378
Vijayawada,Technology,2021,,820,8.004087527799834,277,Low,218.63351772795863
Nellore,Energy,2014,13173,627,15.126116687984048,112,Medium,897.8407516336599
Vijayawada,Healthcare,2016,29920,215,6.272761185,344,Medium,871.4864365486156
Visakhapatnam,Technology,2023,20963,901,6.478393905956533,43,Medium,210.37032909266836
Visakhapatnam,Agriculture,2016,12637,961,6.021868620080365,369,Low,351.87015743897234
Guntur,Agriculture,2023,22508,515,-3.035241524,326,Medium,488.3685061503647
Visakhapatnam,Technology,2015,47892,972,-4.017196504,258,High,180.95284998138703
Vijayawada,Healthcare,2014,14568,57,13.70649225959146,262,High,409.81270058796713
Vijayawada,Energy,2020,40577,575,-1.306522702,380,High,94.48749446152009
Vijayawada,Agriculture,2015,35674,64,-7.378270837,128,Low,122.27790666451969
Kakinada,Manufacturing,2023,40056,574,9.839811338851217,77,Medium,222.4805171
Vijayawada,Manufacturing,2019,24275,644,4.469315648782233,110,Medium,819.7823927781576
Nellore,Manufacturing,2019,28285,326,-1.17852152,121,Medium,938.1580198435231
Guntur,Agriculture,2022,36358,,7.4240365591605375,417,High,111.60739253765288
Visakhapatnam,Agriculture,2019,39328,243,3.9190723253482442,401,Medium,543.5233457505963
Guntur,Healthcare,2017,46587,162,8.246000579527916,10,Medium,766.3585209388352
Nellore,Agriculture,2017,,722,-0.769237962,19,Low,743.4461019125363
Nellore,Manufacturing,2014,20216,826,9.890968515196107,417,Medium,599.6993999355199
Nellore,Agriculture,2015,6256,979,-5.469173346,44,Low,341.45679294404533
Nellore,Healthcare,2022,24325,340,-0.893355052,14,High,474.9625928241344
Visakhapatnam,Technology,2023,44303,889,5.978372714,23,High,789.1477334
Visakhapatnam,Manufacturing,2022,12246,552,8.296436992204349,318,High,183.7963322
Vijayawada,Healthcare,2021,,672,10.501818898212838,487,High,589.5722229959903
Visakhapatnam,Healthcare,2020,20029,883,14.061467143517262,132,Medium,1088.1627548772574
Kakinada,Energy,2021,21103,310,7.158937049890195,333,Low,251.1927048546596
Guntur,Agriculture,2023,35884,709,-5.46005708,339,Medium,194.2881953030527
Nellore,Technology,2023,18368,672,13.152389651560018,180,Low,1075.3840584584834
Visakhapatnam,Agriculture,2023,40964,511,13.359175369225373,223,High,574.2653861367417
Visakhapatnam,Manufacturing,2017,35622,999,7.970951428151803,433,High,839.6298047672365
Nellore,Technology,2022,14224,852,4.954217339773583,34,Medium,216.20993173487093
Guntur,Agriculture,2014,5971,812,-6.478574491,161,Low,226.39397513709937
Vijayawada,Healthcare,2019,17241,518,7.879342060170314,346,Low,828.8149918716822
Visakhapatnam,Manufacturing,2021,2759,190,4.9329528864399474,444,High,831.3726104842359
Guntur,Technology,2021,34536,639,12.851479994745706,203,Medium,294.12095716642506
Nellore,Agriculture,2014,14087,,-3.231383171,375,Medium,452.2764611724297
Nellore,Manufacturing,2020,46368,808,1.3472141010826073,480,High,876.8854899367475
Guntur,Manufacturing,2016,21059,313,-2.513965181,105,Medium,379.13128898341876
Nellore,Technology,2018,7150,379,-2.862286729,160,Low,235.15193329846085
Vijayawada,Manufacturing,2015,24236,965,3.3966464287458766,395,High,602.7776380373978
Vijayawada,Energy,2022,8083,,18.711332674053917,351,Low,984.3958073
Vijayawada,Agriculture,2014,28856,575,8.542173605716638,459,Low,429.1174982328707
Vijayawada,Technology,2017,12372,659,1.8076831629842243,84,Medium,256.912632
Visakhapatnam,Energy,2015,32896,427,13.005064540807396,126,Medium,496.5316255892476
Vijayawada,Healthcare,2021,47828,870,-0.615718034,182,Low,569.6432531006003
Guntur,Manufacturing,2019,20250,742,10.078802736659705,291,Low,322.7847163
Guntur,Technology,2020,24150,713,18.42074348311895,78,Low,992.3399010346382
Guntur,Energy,2014,39890,531,10.583313772624768,459,Low,228.19739613263752
Vijayawada,Manufacturing,2021,14350,852,15.477557941854993,238,High,708.8687936646045
Nellore,Manufacturing,2014,37408,872,8.032516685339235,21,Medium,761.0435454961581
Nellore,Manufacturing,2020,12918,620,78.7668008,374,Medium,268.08854123948026
Nellore,Technology,2023,17774,,-1.98693553,16,Low,965.4885657
Kakinada,Agriculture,2015,38265,492,10.722886853766934,282,Medium,310.7566033205333
Nellore,Agriculture,2016,3983,232,0.11213624204626882,48,High,987.2601560815474
Visakhapatnam,Energy,2015,,157,0.8239868688408443,320,High,270.2936593840801
Guntur,Agriculture,2015,40974,863,-1.232204614,455,Low,565.3660741837065
Vijayawada,Manufacturing,2022,25574,408,8.062979790863077,74,Medium,820.8969575467213
Vijayawada,Energy,2017,41600,481,-4.553151632,472,Low,476.0993407
Nellore,Energy,2023,46028,988,38.85542289732454,304,High,496.9728945563916
Kakinada,Healthcare,2020,49988,624,0.7642298951254753,252,Low,469.7687945
Vijayawada,Agriculture,2014,15199,823,40.07696871298751,63,High,908.4583631269718
Guntur,Technology,2023,26425,111,19.908394395168106,12,High,902.0983177786366
Vijayawada,Agriculture,2018,,372,-3.176015629,38,Low,282.1852218616373
Visakhapatnam,Energy,2021,16585,173,4.3172129253078495,337,High,282.4687783607826
Nellore,Manufacturing,2018,39001,89,17.07265672843653,327,Low,229.19466448830852
Guntur,Healthcare,2014,48456,620,16.682355023995058,178,Low,565.4306011487694
Kakinada,Energy,2019,49874,606,16.79608819,40,High,626.7842944534027
Kakinada,Technology,2015,49845,638,7.686693344020906,304,Medium,372.0411035348534
Vijayawada,Healthcare,2021,38311,905,15.466985512496045,335,High,652.9762188880892
Nellore,Healthcare,2018,8059,913,14.271352713524745,333,High,421.2974502744809
Vijayawada,Agriculture,2014,3353,319,14.337224229434923,294,High,371.7357452918974
Guntur,Agriculture,2014,30241,587,-6.026542918,235,Low,579.6241930708641
Nellore,Energy,2020,18482,933,15.998679116811797,184,Medium,332.2676761598541
Kakinada,Energy,2021,,918,10.96314869160214,271,High,652.6417049889076
Nellore,Agriculture,2015,27431,,7.873101005056192,283,High,657.2915104625731
Nellore,Energy,2014,9711,640,6.342340865132067,59,High,526.5909815368452
Guntur,Healthcare,2023,1526,202,-4.969204121,464,Low,982.9622076759046
Kakinada,Energy,2022,36201,393,5.831168724291389,73,Low,842.9164930864652
Guntur,Energy,2019,42688,850,18.816215950967926,434,High,472.9378355832274
Kakinada,Healthcare,2019,36488,763,14.39511839,251,Low,210.83475335250637
Vijayawada,Technology,2017,16525,920,0.021477246557354057,131,Medium,242.19759066832765
Guntur,Manufacturing,2016,40685,122,-3.700717909,425,Low,464.4851241513699
Guntur,Agriculture,2017,47163,257,3.6898094038434053,323,Medium,518.4828101678776
Kakinada,Healthcare,2015,2560,350,10.393550548556071,156,High,885.3774269199463
Guntur,Healthcare,2020,21049,963,11.331575480933253,46,Low,267.1230718813872
Visakhapatnam,Healthcare,2019,8005,774,13.179226744157699,454,Low,717.0072149997806
Visakhapatnam,Agriculture,2015,5703,666,0.9653854797397621,126,Medium,617.4294672950668
Vijayawada,Agriculture,2020,18778,235,12.809083640417274,277,High,366.1013465549806
Kakinada,Technology,2023,42899,575,19.28487735104099,384,Low,1046.8880447684858
Visakhapatnam,Healthcare,2021,42089,792,-0.911903185,388,Low,119.77772677183451
Kakinada,Healthcare,2021,13588,968,6.344738534590981,404,Medium,867.4170690148406
Visakhapatnam,Energy,2022,49403,825,10.42862466510075,10,Low,761.0361534870812
Kakinada,Energy,2018,27928,546,12.63463985280509,321,High,886.9851335963158
Visakhapatnam,Energy,2015,26619,331,-4.016411483,128,High,283.70567799031915
Kakinada,Technology,2016,,742,6.997427039801831,260,High,276.92090863532957
Guntur,Technology,2021,10110,477,8.306124720657477,160,Medium,951.6202149175361
Vijayawada,Energy,2021,42974,825,-1.09590388,367,Low,584.9587929883859
Guntur,Technology,2023,29625,194,15.771929783542635,312,Low,717.5975437800727
Guntur,Energy,2014,43287,,9.429630917793704,455,Medium,814.1269644829965
Nellore,Energy,2022,20614,538,-2.272259206,107,Low,188.77524547249334
Nellore,Manufacturing,2015,49406,900,16.722515638514274,138,Medium,1071.5026407466285
Nellore,Agriculture,2023,36643,654,1.2173405655632656,314,Low,397.96140729878374
Vijayawada,Manufacturing,2023,42986,134,16.58334123929563,313,Medium,575.2216772606562
Vijayawada,Energy,2018,28598,349,6.917386876,52,High,449.14168019734115
Guntur,Energy,2018,22627,448,1.0870574144074823,212,High,886.8700172165455
Nellore,Healthcare,2017,28117,588,18.24014693554973,165,High,854.2520639810324
Nellore,Healthcare,2014,35905,394,8.062026012902958,272,High,238.76438249083765
Visakhapatnam,Technology,2021,9636,347,17.943812229284433,93,Medium,936.2650284
Nellore,Healthcare,2020,29552,75,0.3011209977056666,19,Medium,732.2258407482792
Guntur,Energy,2023,46105,713,15.565357962841961,69,High,411.9810022750632
Vijayawada,Energy,2020,27160,532,16.731490616276314,170,High,849.0115301
Guntur,Technology,2020,10160,639,10.800387150510462,450,Medium,938.0144738917618
Nellore,Manufacturing,2023,33496,508,19.78139984255471,197,Medium,730.4895112
Nellore,Manufacturing,2017,8843,948,5.029697850974568,362,High,216.6815356272389
Kakinada,Energy,2015,3475,588,11.004205595704153,273,Medium,875.7047289027404
Vijayawada,Healthcare,2016,20201,663,8.944585434250623,363,High,956.3026014290816
Nellore,Energy,2018,11526,352,0.023342216476411437,217,Medium,545.0821646
Kakinada,Agriculture,2021,35447,591,-4.133947954,357,High,178.56836759414327
Visakhapatnam,Energy,2014,14395,455,-2.771889197,240,Low,870.3879041531969
Visakhapatnam,Technology,2017,19792,390,3.658044214725088,258,Low,562.2663724374279
Vijayawada,Agriculture,2017,25981,988,4.364684557944166,325,Low,386.12308343248833
Nellore,Agriculture,2015,12421,265,3.3120298139856548,471,Medium,174.77687900706198
Guntur,Technology,2018,21609,980,3.652493163444639,285,Medium,902.7944330017575
Kakinada,Manufacturing,2014,26709,385,14.120245022574885,390,High,636.3629433369133
Nellore,Technology,2021,18347,586,0.8137839591345024,182,Low,646.7687740005282
Nellore,Agriculture,2019,21733,179,6.255027309953835,476,High,627.1964988848174
Nellore,Manufacturing,2015,38846,132,-0.733381036,158,Low,254.03193703214995
Kakinada,Healthcare,2014,35406,601,15.349256737650471,368,Low,1011.2490329932793
Kakinada,Energy,2018,15818,568,8.137615549216001,479,Medium,600.2216563195469
Guntur,Energy,2015,38605,640,9.553705744499307,480,Medium,1048.1437167647955
Nellore,Energy,2015,17052,387,-3.384583004,169,Low,582.9016637749153
Nellore,Technology,2020,11749,757,16.616509803510443,121,Medium,968.7869792125741
Nellore,Technology,2023,44404,674,18.88336716259821,26,Low,651.2738947
Vijayawada,Technology,2023,29671,281,6.5369366156183535,212,High,919.3687918898876
Kakinada,Energy,2014,32186,630,13.43584421803714,458,High,284.64581857363396
Nellore,Agriculture,2014,25034,713,-9.110728324,157,Low,266.0405070490865
Guntur,Healthcare,2016,29138,491,-2.540108757,359,Medium,438.5280660023195
Visakhapatnam,Manufacturing,2014,32182,995,-4.739307515,301,Medium,887.8438902
Vijayawada,Energy,2015,21131,701,6.858402747655347,267,Medium,928.0774033
Guntur,Technology,2015,46838,322,18.202091008151243,192,Low,822.610733
Kakinada,Healthcare,2015,,221,-0.063237754,183,Low,986.8602445647615
Visakhapatnam,Healthcare,2020,44950,579,10.901769093245626,158,Medium,464.1212430498922
Guntur,Manufacturing,2019,44541,909,-3.920656605,475,Medium,604.3612314598709
Kakinada,Energy,2016,44285,732,13.954625276913433,362,High,904.1478570270064
Nellore,Technology,2022,37495,633,1.1669716130405758,270,High,555.3869303105469
Guntur,Manufacturing,2015,4081,454,13.32678240074187,240,High,225.5035920993681
Vijayawada,Technology,2019,11805,61,13.643344568280803,23,Low,525.3224401866513
Guntur,Energy,2020,18081,181,4.634397076184046,141,Medium,643.3882587078931
Nellore,Technology,2019,27661,991,3.8873252610339346,66,Low,157.52339333684628
Nellore,Technology,2016,30750,549,9.016502360404273,263,Medium,818.5005979586194
Guntur,Energy,2014,1541,363,12.692023368522893,424,High,577.0720448277381
Vijayawada,Healthcare,2014,20194,525,13.391577855979747,468,Low,287.3057837438937
Kakinada,Agriculture,2019,49998,186,13.757818823264792,334,Low,624.5895430112726
Nellore,Manufacturing,2014,25570,926,14.56454849628345,412,Medium,780.8677190755848
Kakinada,Manufacturing,2018,49201,753,7.074221802133881,79,Medium,412.2688901700681
Visakhapatnam,Healthcare,2021,43821,858,-1.027295808,325,Low,633.1858019650763
Kakinada,Technology,2021,28037,,1.5426420933976495,172,High,325.0317305851848
Visakhapatnam,Energy,2023,42800,862,16.32724058509126,116,Medium,489.74081384348665
Vijayawada,Agriculture,2020,2171,521,4.004204586546049,208,Low,545.8619058959049
Vijayawada,Energy,2018,,180,13.12889318877787,430,Low,493.63200773980014
Visakhapatnam,Technology,2022,30300,757,5.449748346762108,336,Medium,429.2545949849892
Guntur,Manufacturing,2023,45629,226,8.588455433566152,463,Medium,316.4099092798595
Visakhapatnam,Technology,2019,1097,193,5.294138539612712,134,High,195.21768738145255
Guntur,Agriculture,2023,35622,610,-4.965905447,400,Low,600.7079767757361
Nellore,Healthcare,2021,15939,831,0.9699052845384823,498,Medium,903.0599129145148
Kakinada,Manufacturing,2016,42971,276,-2.363157501,445,High,693.4776852970075
Kakinada,Technology,2021,34243,346,9.439834147028938,94,High,690.6618261487201
Kakinada,Technology,2017,20206,897,16.429481424968824,268,High,872.3724483819703
Nellore,Healthcare,2020,18071,668,2.8290498704320584,487,Medium,483.89805313448613
Visakhapatnam,Energy,2020,43870,582,13.129638700684769,171,Medium,681.4144972379854
Guntur,Manufacturing,2022,,842,15.573961155537152,163,Medium,875.1327529296228
Vijayawada,Agriculture,2019,17299,426,1.779197473320366,440,Low,831.5793812363447
Nellore,Healthcare,2023,21215,267,-2.484063037,478,High,784.3675516914459
Visakhapatnam,Energy,2022,19058,911,19.477623450378864,428,Low,1000.4411496329515
Kakinada,Manufacturing,2021,39547,173,19.793565429195972,256,High,773.2428682
Nellore,Agriculture,2019,10528,678,0.2076585689862771,151,Low,651.4079251
Visakhapatnam,Agriculture,2016,23746,456,-5.772973241,363,Medium,622.6752420205831
Guntur,Healthcare,2016,43864,330,5.536101039481185,279,Medium,731.2691334302879
Guntur,Technology,2016,22778,762,15.986522737519174,182,High,938.8173032598961
Kakinada,Energy,2016,15140,725,-2.586638245,295,Low,400.2468727229236
Guntur,Manufacturing,2018,33698,383,13.579829968290085,205,High,219.01074877855103
Visakhapatnam,Energy,2019,,930,2.1322584589329105,277,High,897.8300036680761
Kakinada,Energy,2018,43946,733,-2.126675074,210,Low,407.41147171116563
Nellore,Healthcare,2021,7581,637,6.610830905638569,24,Low,800.1109928689177
Kakinada,Manufacturing,2016,13466,181,11.910659058459807,357,Medium,196.55829289581226
Guntur,Manufacturing,2015,43752,633,10.852600784408283,271,Medium,832.6969629653045
Guntur,Healthcare,2021,30033,498,6.261632541445458,118,Low,997.1829300563984
Visakhapatnam,Energy,2021,22180,98,-4.808399184,199,High,498.2877688
Vijayawada,Agriculture,2014,28005,282,-0.074623969,46,Low,651.7895604
Visakhapatnam,Energy,2020,23207,828,-3.878660799,404,Low,193.8846885808787
Nellore,Energy,2021,,317,11.865196322905405,426,Low,738.6126723436101
Nellore,Manufacturing,2020,23190,901,12.164747837315169,459,Medium,881.6043780142097
Kakinada,Manufacturing,2021,37576,381,-2.995499648,152,Low,857.5871463413013
Vijayawada,Agriculture,2023,12381,762,5.3143367086204805,37,High,223.49524571968806
Vijayawada,Manufacturing,2016,29669,317,2.3760176913539057,330,High,919.5319760815919
Visakhapatnam,Healthcare,2022,11516,487,16.29603092184869,429,High,607.3616705894032
Guntur,Agriculture,2015,14467,221,12.915880896030181,72,High,487.5440967802267
Kakinada,Healthcare,2019,21384,969,4.363822175503033,449,Low,148.2854368806244
Guntur,Energy,2017,41379,963,10.92255793636858,436,High,683.1842329272295
Vijayawada,Healthcare,2018,,253,8.992211120948497,40,Low,998.7502941359998
Guntur,Energy,2016,25323,715,-4.025099686,372,High,304.22053724776544
Vijayawada,Energy,2018,3169,174,4.259924656882662,133,Low,141.41226890297582
Nellore,Energy,2014,21538,480,-1.210392678,410,Low,829.1901151443856
Nellore,Technology,2014,9556,903,1.172685667,352,High,1008.5893515702074
Nellore,Healthcare,2014,27132,349,15.767212763001922,333,High,539.0275725428767
Guntur,Healthcare,2015,40420,322,13.36444807803533,347,Medium,903.0335228112738
Kakinada,Energy,2021,26232,662,8.575614598941579,156,High,219.77056864499326
Nellore,Agriculture,2019,27086,,-8.556473703,193,Low,612.0785131
Kakinada,Healthcare,2023,30535,631,9.718288053282997,259,Medium,747.3223976162158
Guntur,Technology,2022,37304,740,17.361313920605806,228,Medium,831.473723
Visakhapatnam,Healthcare,2016,40852,898,11.004957788990595,234,High,772.8245209451355
Vijayawada,Energy,2020,6845,732,16.801208461175193,403,Medium,541.9848459358025
Guntur,Manufacturing,2021,28810,68,0.016275435,291,Low,587.0110673
Nellore,Manufacturing,2022,21620,793,18.427275711469868,197,Low,372.12829639195604
Visakhapatnam,Technology,2020,49511,309,5.177662228,367,High,469.9989762849547
Nellore,Energy,2015,19514,172,16.723606306978628,75,Low,502.7646028480032
Vijayawada,Technology,2015,47092,233,2.382262351198582,299,High,555.5506712782927
Nellore,Energy,2019,29454,370,8.724511236041046,167,Low,912.2806915733519
Visakhapatnam,Technology,2019,16369,533,10.619596569735062,61,Medium,169.6024497166879
Kakinada,Energy,2019,6590,825,1.7852345111678591,128,High,403.72818471713487
Visakhapatnam,Manufacturing,2014,24545,910,-3.828702287,105,Medium,358.15880919002973
Nellore,Healthcare,2019,6276,717,-2.452690298,74,High,740.4142105608329
Guntur,Energy,2015,26682,226,4.432841535,65,High,530.0182218694573
Vijayawada,Energy,2022,13180,284,11.65963533945516,426,High,917.1133643640527
Guntur,Agriculture,2017,2316,859,-7.379798375,313,High,575.6075319582286
Kakinada,Manufacturing,2016,10083,504,14.189190712947955,219,Low,567.5135211932577
Guntur,Manufacturing,2019,28747,670,13.850575873209557,246,Medium,919.7988584
Kakinada,Healthcare,2019,20604,589,12.830172082065442,447,Low,530.5697135633654
Vijayawada,Energy,2014,3100,635,-4.632665284,174,Medium,861.5825754489739
Visakhapatnam,Agriculture,2016,35926,663,3.273441960302346,191,Low,291.70292019680454
Kakinada,Healthcare,2014,44791,736,0.4951337205797506,101,Medium,897.6441842
Vijayawada,Energy,2022,16493,440,-4.561190916,162,Low,133.93075997032918
Kakinada,Energy,2018,21936,209,17.464015116870982,234,High,864.4997915942604
Guntur,Energy,2021,42448,206,1.1650908744506152,421,Low,180.40008720136828
Visakhapatnam,Energy,2021,27423,657,11.273933377951817,340,High,973.0697422931435
Vijayawada,Manufacturing,2020,,74,14.533046393682625,310,High,376.7544543313251
Visakhapatnam,Healthcare,2014,33983,487,6.749706703948416,56,High,620.8710716482287
Kakinada,Manufacturing,2017,48562,297,-1.643128727,443,Medium,832.1199077
Vijayawada,Technology,2018,44309,958,6.464948587845999,12,Medium,678.9342074715647
Visakhapatnam,Agriculture,2014,27956,,45.37849217,165,Medium,791.2311768121905
Visakhapatnam,Healthcare,2023,22642,406,5.924897141640521,28,High,434.05508239506054
Nellore,Agriculture,2016,29001,322,14.00339011013618,254,Medium,391.0909161546385
Visakhapatnam,Agriculture,2017,22542,642,-5.932506405,97,Medium,914.9133088812748
Nellore,Healthcare,2017,4583,205,0.7169194900902189,180,Low,828.4696849546849
Nellore,Agriculture,2019,44896,398,8.089014660300897,150,Low,117.04856958699939
Guntur,Manufacturing,2015,21127,650,14.025198087384801,250,High,594.1637875680012
Visakhapatnam,Technology,2023,46740,165,4.658079326911647,190,High,188.68583088940423
Kakinada,Technology,2017,13602,764,13.794304325977333,398,Medium,397.38848505046684
Nellore,Agriculture,2017,3871,996,0.6875457832027934,85,Medium,988.8479560006998
Vijayawada,Energy,2020,5557,181,15.579020767721481,93,High,881.1980275895759
Kakinada,Manufacturing,2016,21954,885,2.3810450622410535,492,Low,1017.0722488008333
Vijayawada,Energy,2017,20991,585,11.366267171648865,332,Medium,598.4926629541459
Nellore,Manufacturing,2018,,810,-3.466726109,335,Low,895.9195185177647
Guntur,Agriculture,2017,25917,864,-5.222032263,341,Medium,564.8816412511366
Vijayawada,Energy,2023,24064,,15.41948666,215,Low,505.8253735268519
Nellore,Energy,2021,19375,802,4.517242029021645,296,Medium,337.2282810727536
Guntur,Technology,2014,44733,554,4.042756371489515,57,High,274.3968702980519
Guntur,Healthcare,2022,34872,538,6.220341144,203,High,228.46543535291852
Nellore,Manufacturing,2023,37432,467,15.176772596667575,486,Low,310.87552802643756
Visakhapatnam,Healthcare,2014,19287,224,5.883105536380905,201,Low,961.1781564014932
Vijayawada,Manufacturing,2017,5946,92,15.974933192950267,497,Medium,939.6969385375143
Guntur,Energy,2021,21306,951,8.660757901946182,442,High,374.36380764750817
Guntur,Healthcare,2016,5986,604,16.63239397272281,157,High,651.4596595952457
Nellore,Agriculture,2022,12889,833,14.547642451913479,188,Medium,720.1818616244393
Guntur,Energy,2018,33026,189,10.532311226240253,106,Low,687.9060682175941
Vijayawada,Manufacturing,2014,17402,,3.311403929,459,Medium,683.6633804
Guntur,Energy,2020,38623,453,1.946319402242807,347,High,821.8168269
Visakhapatnam,Technology,2023,17901,619,-2.167412382,327,Low,167.58371735657508
Guntur,Agriculture,2020,46833,147,2.075992439,217,Medium,738.0517088852893
Guntur,Energy,2020,2518,279,-3.291647379,50,Medium,237.8163038129809
Vijayawada,Agriculture,2018,35510,332,6.900657201313688,490,Medium,866.9101819083614
Visakhapatnam,Agriculture,2017,43137,315,5.306453769046117,324,Medium,675.7153293724953
Nellore,Healthcare,2022,38164,117,18.406678485330477,146,High,1017.5358138278367
Visakhapatnam,Technology,2019,17753,844,5.839569815815359,428,High,489.2859692454816
Guntur,Technology,2022,3962,297,0.7292987803540534,52,Low,142.16601737765154
Nellore,Healthcare,2014,38887,624,3.899275812209858,375,Low,422.33148106818953
Vijayawada,Manufacturing,2016,21810,577,-2.971270537,313,High,731.8557690038525
Guntur,Technology,2021,1869,882,1.3339292514915355,100,Medium,886.7652559981553
Guntur,Manufacturing,2019,17678,418,16.629833684945275,362,Medium,717.5127048030713
Guntur,Agriculture,2023,6307,791,0.6900333425834333,429,Medium,356.45816373983496
Guntur,Technology,2019,8352,254,2.5261519458578254,265,High,678.4164259424789
Guntur,Technology,2014,42080,434,18.100671760643323,350,Low,822.5569154
Nellore,Healthcare,2016,16954,852,15.146113315445827,138,High,540.0448854475984
Kakinada,Manufacturing,2023,31444,360,0.40150290611915995,64,Low,648.4454105
Visakhapatnam,Energy,2014,40740,186,-3.0589806,118,High,132.31029608347833
Kakinada,Agriculture,2014,48517,874,-9.668724162,466,Low,253.49535082060447
Nellore,Manufacturing,2020,45278,665,16.574309974674062,494,Medium,829.2191613315825
Guntur,Technology,2014,42458,683,3.8567831804303907,124,Medium,838.3418291223396
